index,counter_id,latitude,longitude
0,TMU M01 020.0 N,53.55996,-6.21491
1,TMU M01 010.0 S,53.50218,-6.19982
2,TMU M01 006.0 N,53.45946,-6.20405
3,TMU M01 005.0 N,53.43663,-6.2103
4,TMU N01 000.0 N,53.42808,-6.22453
5,TMU M01 000.0 N,53.4178,-6.22294
6,TMU M50 001.7N,53.41046,-6.23701
7,TMU R108 000.0 N,53.41255,-6.26542
8,TMU R108 000.0 N1,53.40642,-6.26565
9,TMU M50 005.0 N,53.40816,-6.28956
10,TMU M02 000.0 N,53.41283,-6.31592
11,TMU M50 010.0 N,53.39524,-6.33667
12,TMU N03 000.0 N,53.39369,-6.38519
13,TMU N03 005.0 S,53.40748,-6.42042
14,TMU M50 000.0 N,53.40305,-6.2335
15,TMU N01 040.0 S,53.38807,-6.24237
16,TMU M50 015.0 S,53.37088,-6.37571
17,TMU N04 000.0 W,53.3555,-6.39533
18,TMU N04 000.0 E,53.35114,-6.44254
19,TMU M50 020.0 N,53.34553,-6.38715
20,TMU N07 001.0 E,53.31607,-6.37874
21,TMU N07 005.0 E,53.29789,-6.42507
22,TMU N07 006.0 E,53.29027,-6.44723
23,TMU M50 015.0 N,53.31346,-6.36333
24,TMU M50 025.0 S,53.30004,-6.33826
25,TMU N81 000.0 N,53.28737,-6.3454
26,TMU M50 025.0 N,53.28384,-6.32733
27,TMU M50 030.0 S,53.26676,-6.28236
28,TMU M50 035.0 S,53.27188,-6.23799
29,TMU N31 000.0 E,53.27846,-6.19821
30,TMU N31 005.0 E,53.30009,-6.19153
31,TMU M50 040.0 S,53.26272,-6.19356
32,TMU M11 010.0 N,53.22208,-6.12913
